SCALERANK,NATSCALE,LABELRANK,FEATURECLA,NAME,NAMEPAR,NAMEALT,DIFFASCII,NAMEASCII,ADM0CAP,CAPIN,WORLDCITY,MEGACITY,SOV0NAME,SOV_A3,ADM0NAME,ADM0_A3,ADM1NAME,ISO_A2,NOTE,LATITUDE,LONGITUDE,CHANGED,NAMEDIFF,DIFFNOTE,POP_MAX,POP_MIN,POP_OTHER,RANK_MAX,RANK_MIN,GEONAMEID,MEGANAME,LS_NAME,LS_MATCH,CHECKME,MAX_POP10,MAX_POP20,MAX_POP50,MAX_POP300,MAX_POP310,MAX_NATSCA,MIN_AREAKM,MAX_AREAKM,MIN_AREAMI,MAX_AREAMI,MIN_PERKM,MAX_PERKM,MIN_PERMI,MAX_PERMI,MIN_BBXMIN,MAX_BBXMIN,MIN_BBXMAX,MAX_BBXMAX,MIN_BBYMIN,MAX_BBYMIN,MIN_BBYMAX,MAX_BBYMAX,MEAN_BBXC,MEAN_BBYC,COMPARE,GN_ASCII,FEATURE_CL,FEATURE_CO,ADMIN1_COD,GN_POP,ELEVATION,GTOPO30,TIMEZONE,GEONAMESNO,UN_FID,UN_ADM0,UN_LAT,UN_LONG,POP1950,POP1955,POP1960,POP1965,POP1970,POP1975,POP1980,POP1985,POP1990,POP1995,POP2000,POP2005,POP2010,POP2015,POP2020,POP2025,POP2050,CITYALT,min_zoom,wikidataid,wof_id,CAPALT,name_en,name_de,name_es,name_fr,name_pt,name_ru,name_zh,label,name_ar,name_bn,name_el,name_hi,name_hu,name_id,name_it,name_ja,name_ko,name_nl,name_pl,name_sv,name_tr,name_vi,wdid_score,ne_id
10,1,7,Admin-1 capital,Schwyz,,,0,Schwyz,0.00000000000,,0.00000000000,0,Switzerland,CHE,Switzerland,CHE,Schwyz,CH,,47.01999604240,8.64800160284,4.00000000000,1,Added missing admin-1 capital. Population from GeoNames.,14177,14177,0,6,6,2658665.00000000000,,,0,0,0,0,0,0,0,0,0,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0,Schwyz,P,PPLA,0.00000000000,14177,0.00000000000,564.00000000000,Europe/Zurich,GeoNames match general.,0,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,9.0,Q68155,101854013,0,Schwyz,Schwyz,Schwyz,Schwyz,Schwyz,Швиц,施維茨,,شويز,,,,Schwyz,Schwyz,Svitto,シュヴィーツ,슈비츠,Schwyz,Schwyz,Schwyz,Schwyz,,4,1159114627
10,1,7,Admin-1 capital,Frauenfeld,,,0,Frauenfeld,0.00000000000,,0.00000000000,0,Switzerland,CHE,Switzerland,CHE,Thurgau,CH,,47.56799716570,9.10800050195,4.00000000000,1,Added missing admin-1 capital. Population from GeoNames.,21979,21979,0,7,7,2660727.00000000000,,,0,0,0,0,0,0,0,0,0,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0,Frauenfeld,P,PPLA,0.00000000000,21979,0.00000000000,478.00000000000,Europe/Zurich,GeoNames match general.,0,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,9.0,Q68120,101854447,0,Frauenfeld,Frauenfeld,Frauenfeld,Frauenfeld,Frauenfeld,Фрауэнфельд,弗勞恩費爾德,,فراونفيلد,,,,Frauenfeld,Frauenfeld,Frauenfeld,フラウエンフェルト,프라우엔펠트,Frauenfeld,Frauenfeld,Frauenfeld,Frauenfeld,,4,1159114649
10,1,7,Admin-1 capital,Altdorf,,,0,Altdorf,0.00000000000,,0.00000000000,0,Switzerland,CHE,Switzerland,CHE,Uri,CH,,46.87900214440,8.63800258370,4.00000000000,1,Added missing admin-1 capital. Population from GeoNames.,8678,8678,0,5,5,2661780.00000000000,,,0,0,0,0,0,0,0,0,0,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0,Altdorf,P,PPLA,0.00000000000,8678,0.00000000000,655.00000000000,Europe/Zurich,GeoNames match general.,0,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,9.0,Q68150,101853911,0,Altdorf,Altdorf,Altdorf,Altdorf,Altdorf,Альтдорф,阿爾特多夫,,ألتدورف,,Άλτντορφ,,Altdorf,Altdorf,Altdorf,アルトドルフ,알트도르프,Altdorf,Altdorf,Altdorf,Altdorf,Altdorf,4,1159114659
10,1,7,Admin-1 capital,Zug,,,0,Zug,0.00000000000,,0.00000000000,0,Switzerland,CHE,Switzerland,CHE,Zug,CH,,47.17899903050,8.48700056499,4.00000000000,1,Added missing admin-1 capital. Population from GeoNames.,23435,23435,0,7,7,2657908.00000000000,,,0,0,0,0,0,0,0,0,0,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0,Zug,P,PPLA,0.00000000000,23435,0.00000000000,503.00000000000,Europe/Zurich,GeoNames match general.,0,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,8.0,Q68144,101875979,0,Zug,Zug,Zug,Zoug,Zug,Цуг,楚格,,زوغ,,Τσουγκ,,Zug,Zug,Zugo,ツーク,추크,Zug,Zug,Zug,Zug,Zug,4,1159114687
10,1,7,Admin-1 capital,Fribourg,,,0,Fribourg,0.00000000000,,0.00000000000,0,Switzerland,CHE,Switzerland,CHE,Fribourg,CH,,46.80000008000,7.14999652234,4.00000000000,1,Added missing admin-1 capital. Population from GeoNames.,32827,32827,0,7,7,2660718.00000000000,,,0,0,0,0,0,0,0,0,0,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0,Fribourg,P,PPLA,0.00000000000,32827,0.00000000000,543.00000000000,Europe/Zurich,GeoNames match general.,0,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,9.0,Q36378,101853947,0,Fribourg,Freiburg im Üechtland,Friburgo,Fribourg,Friburgo,Фрибур,弗里堡,,فريبورغ,,Φριμπούρ,,Fribourg,Fribourg,Friburgo,フリブール,프리부르,Fribourg,Fryburg,Fribourg,Fribourg,Fribourg,4,1159116915
10,1,7,Admin-1 capital,Liestal,,,0,Liestal,0.00000000000,,0.00000000000,0,Switzerland,CHE,Switzerland,CHE,Basel-Landschaft,CH,,47.48300111760,7.73700346795,4.00000000000,1,Added missing admin-1 capital. Population from GeoNames.,12832,12832,0,6,6,2659891.00000000000,,,0,0,0,0,0,0,0,0,0,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0,Liestal,P,PPLA,0.00000000000,12832,0.00000000000,425.00000000000,Europe/Zurich,GeoNames match general.,0,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,9.0,Q68972,101876021,0,Liestal,Liestal,Liestal,Liestal,,Листаль,利斯塔爾,,ليستل,,Λίσταλ,,Liestal,Liestal,Liestal,リースタル,리스탈,Liestal,Liestal,Liestal,Liestal,,4,1159116933
10,1,7,Admin-1 capital,Solothurn,,,0,Solothurn,0.00000000000,,0.00000000000,0,Switzerland,CHE,Switzerland,CHE,Solothurn,CH,,47.21200209860,7.53699660776,4.00000000000,1,Added missing admin-1 capital. Population from GeoNames.,14853,14853,0,6,6,2658564.00000000000,,,0,0,0,0,0,0,0,0,0,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0,Solothurn,P,PPLA,0.00000000000,14853,0.00000000000,435.00000000000,Europe/Zurich,GeoNames match general.,0,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,8.0,Q68965,101854209,0,Solothurn,Solothurn,Soleura,Soleure,Soleura,Золотурн,索洛图恩,,سولوتورن,,Σόλοτουρν,,Solothurn,Solothurn,Soletta,ゾロトゥルン,졸로투른,Solothurn,Solura,Solothurn,,Solothurn,4,1159116949
10,1,7,Admin-1 capital,Sarnen,,,0,Sarnen,0.00000000000,,0.00000000000,0,Switzerland,CHE,Switzerland,CHE,Obwalden,CH,,46.89900001720,8.24300152884,4.00000000000,1,Added missing admin-1 capital. Population from GeoNames.,9410,9410,0,5,5,2658786.00000000000,,,0,0,0,0,0,0,0,0,0,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0,Sarnen,P,PPLA,0.00000000000,9410,0.00000000000,559.00000000000,Europe/Zurich,GeoNames match general.,0,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,9.0,Q63964,101853897,0,Sarnen,Sarnen,Sarnen,Sarnen,Sarnen,Зарнен,薩爾嫩,,سارنين,,,,Sarnen,Sarnen,Sarnen,ザルネン,자르넨,Sarnen,Sarnen,Sarnen,Sarnen,,4,1159116963
10,1,7,Admin-1 capital,Appenzell,,,0,Appenzell,0.00000000000,,0.00000000000,0,Switzerland,CHE,Switzerland,CHE,Appenzell Innerrhoden,CH,,47.33330410310,9.41670050466,4.00000000000,1,Added missing admin-1 capital. Population from GeoNames.,5649,5649,0,5,5,2661740.00000000000,,,0,0,0,0,0,0,0,0,0,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0,Appenzell,P,PPLA,0.00000000000,5649,0.00000000000,787.00000000000,Europe/Zurich,GeoNames match general.,0,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,8.0,Q209270,101854187,0,Appenzell,Appenzell,Appenzell,Appenzell,Appenzell,Аппенцелль,阿彭策爾,,أبنزل,,,,Appenzell,Appenzell,,アッペンツェル,아펜첼,Appenzell,Appenzell,Appenzell,Appenzell,,4,1159117027
8,10,7,Admin-1 capital,Chur,,,0,Chur,0.00000000000,,0.00000000000,0,Switzerland,CHE,Switzerland,CHE,Graubünden,CH,,46.85002016100,9.50002966171,0.00000000000,0,,38293,32429,38011,7,7,2661169.00000000000,,Chur,1,0,38293,0,0,0,0,10,14,14.00000000000,5.00000000000,5.00000000000,17.00000000000,17.00000000000,11.00000000000,11.00000000000,9.50000000000,9.50000000000,9.55000000000,9.55000000000,46.84166667000,46.84166667000,46.88333333000,46.88333333000,9.52518116000,46.85923913000,0,Chur,P,PPLA,0.00000000000,32429,0.00000000000,631.00000000000,Europe/Zurich,GeoNames match general.,0,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,7.0,Q69007,101853949,0,Chur,Chur,Coira,Coire,Coira,Кур,庫爾,,خور,,Κουρ,,Chur,Chur,Coira,クール,쿠어,Chur,Chur,Chur,Chur,,4,1159126273
